file_name,section,answer_nums,obs_type,is_unable,is_refuse,is_aftercall,is_nonans
5070597_T,1,"{23,25}",train,FALSE,FALSE,FALSE,FALSE
1313830_T,1,"{13,14,15,17}",train,FALSE,TRUE,FALSE,TRUE
3307581_T,1,{32},test,FALSE,FALSE,FALSE,FALSE
1338716_T,1,"{17,19,21}",test,FALSE,FALSE,FALSE,FALSE
2012178_T,1,"{131,133}",test,FALSE,FALSE,FALSE,FALSE
4721371_T,1,{15},train,FALSE,FALSE,FALSE,FALSE
1343630_T,1,"{57,59}",train,FALSE,FALSE,FALSE,FALSE
1353815_T,1,{6},train,FALSE,FALSE,FALSE,FALSE
1412738_T,1,"{60,62,64}",train,FALSE,FALSE,FALSE,FALSE
4995065_T,1,"{13,15,17}",test,FALSE,FALSE,FALSE,FALSE
1452986_T,1,{20},train,FALSE,FALSE,FALSE,FALSE
4812994_T,1,"{24,26}",train,FALSE,FALSE,FALSE,FALSE
1041457_T,1,{44},test,FALSE,FALSE,FALSE,FALSE
1006561_T,1,{24},train,FALSE,FALSE,FALSE,FALSE
2060916_T,1,{35},test,FALSE,FALSE,FALSE,FALSE
1834042_T,1,{32},train,FALSE,FALSE,FALSE,FALSE
786820_T,1,{37},train,TRUE,FALSE,FALSE,TRUE
2197462_T,1,{31},test,FALSE,FALSE,FALSE,FALSE
2976312_T,1,{19},train,FALSE,FALSE,FALSE,FALSE
1181881_T,1,"{15,16}",train,FALSE,FALSE,FALSE,FALSE
3899188_T,1,{48},train,FALSE,FALSE,FALSE,FALSE
805409_T,1,{37},train,FALSE,FALSE,FALSE,FALSE
1796901_T,1,"{22,24}",train,FALSE,FALSE,FALSE,FALSE
1463921_T,1,{38},train,FALSE,FALSE,FALSE,FALSE
2702043_T,1,{5},test,FALSE,FALSE,FALSE,FALSE
2171602_T,1,{3},test,FALSE,FALSE,FALSE,FALSE
4808032_T,1,{51},train,FALSE,FALSE,FALSE,FALSE
4702055_T,1,"{34,36,38,40,41}",train,FALSE,FALSE,FALSE,FALSE
2075636_T,1,{25},train,FALSE,FALSE,FALSE,FALSE
926473_T,1,"{109,112}",test,FALSE,FALSE,FALSE,FALSE
3471469_T,1,{3},train,FALSE,FALSE,FALSE,FALSE
3672247_T,1,{24},train,FALSE,FALSE,FALSE,FALSE
3678675_T,1,"{16,18,20,21}",train,FALSE,FALSE,FALSE,FALSE
811056_T,1,"{112,114,115}",train,FALSE,FALSE,FALSE,FALSE
1738661_T,1,"{20,22}",test,FALSE,FALSE,FALSE,FALSE
1221743_T,1,{36},train,FALSE,FALSE,FALSE,FALSE
5075537_T,1,"{19,20}",train,TRUE,FALSE,FALSE,TRUE
1679470_T,1,"{33,35,37}",test,FALSE,TRUE,FALSE,TRUE
2000138_T,1,"{12,14}",train,FALSE,FALSE,FALSE,FALSE
1763035_T,1,"{78,80,82}",train,FALSE,FALSE,FALSE,FALSE
4212474_T,1,{50},test,FALSE,FALSE,FALSE,FALSE
2152786_T,1,"{11,13}",train,FALSE,FALSE,FALSE,FALSE
1328402_T,1,{73},train,FALSE,FALSE,FALSE,FALSE
4924053_T,1,{7},test,FALSE,FALSE,FALSE,FALSE
2338441_T,1,{19},test,FALSE,FALSE,FALSE,FALSE
1820585_T,1,{63},train,FALSE,FALSE,FALSE,FALSE
5043328_T,1,{3},train,FALSE,FALSE,FALSE,FALSE
1145599_T,1,{67},test,FALSE,TRUE,FALSE,TRUE
3442073_T,1,{37},test,FALSE,FALSE,FALSE,FALSE
2457410_T,1,{5},train,FALSE,FALSE,FALSE,FALSE
5071116_T,1,"{4,5,6,7,8,10,11,13,14,15,17,19,20,21}",train,FALSE,FALSE,FALSE,FALSE
797605_T,1,{3},test,FALSE,FALSE,FALSE,FALSE
3213067_T,1,"{94,95,96}",test,FALSE,FALSE,FALSE,FALSE
4918709_T,1,{201},train,FALSE,FALSE,FALSE,FALSE
3026291_T,1,"{31,32}",train,FALSE,FALSE,FALSE,FALSE
900997_T,1,{15},test,FALSE,FALSE,FALSE,FALSE
1596907_T,1,{60},train,FALSE,FALSE,FALSE,FALSE
1404860_T,1,{45},train,FALSE,FALSE,FALSE,FALSE
4154070_T,1,{16},train,FALSE,TRUE,FALSE,TRUE
1235873_T,1,{34},train,FALSE,FALSE,FALSE,FALSE
5047377_T,1,{126},train,FALSE,FALSE,FALSE,FALSE
748996_T,1,{31},test,FALSE,FALSE,FALSE,FALSE
962444_T,1,"{85,88,89,90,92,93,94,95,96,97,98}",train,FALSE,FALSE,FALSE,FALSE
3431594_T,1,"{3,4}",train,FALSE,FALSE,FALSE,FALSE
